CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
0.0015536718718739421,0.125,0.27162756598240473,0.0,0.28600823045267487,0.5002874113814907,0.9598352214212151,0.43838718184215547,0.17391304347826086,0.2366412213740458,0.2765957446808509,0.9999999999999999,0.4806843267108167
0.0023032513924937294,0.125,0.27162756598240473,0.0,0.28600823045267487,0.3966277064571758,1.0,0.4503541907264775,0.17391304347826086,0.2366412213740458,0.2765957446808509,0.9741035856573705,0.7781456953642383
0.0018401733260739476,0.125,0.27162756598240473,0.0,0.28600823045267487,0.46809733665453146,0.8547888774459321,0.49673089688912336,0.17391304347826086,0.2366412213740458,0.2765957446808509,0.9743053104039537,0.4241169977924945
0.002456674101392516,0.125,0.27162756598240473,0.0,0.28600823045267487,0.5395669668518873,0.94129763130793,0.4744155171002738,0.17391304347826086,0.2366412213740458,0.2765957446808509,0.988955570124565,0.5165562913907285
0.0012492992010329788,0.125,0.27162756598240473,0.0,0.28600823045267487,0.469055374592834,0.82389289392379,0.4635033509443571,0.17391304347826086,0.2366412213740458,0.2765957446808509,0.9999999999999999,0.31843267108167767
0.0009830293128416045,0.125,0.27162756598240473,0.0,0.28600823045267487,0.4460624640735774,0.3717816683831102,0.3929561967463558,0.17391304347826086,0.2366412213740458,0.2765957446808509,0.983862020273337,0.38576158940397354
0.007007315284678365,0.0,0.28152492668621704,0.0,0.31481481481481477,0.4575589193332056,0.6065911431513903,0.325355327410452,0.13043478260869565,0.22900763358778625,0.8936170212765959,0.9999999999999999,0.1801876379690949
0.007099481307606574,0.0,0.28152492668621704,0.0,0.31481481481481477,0.48572523471929496,0.8403707518022657,0.30302176067800923,0.13043478260869565,0.22900763358778625,0.8936170212765959,0.9574360784709264,0.23537527593818985
0.006980677056100335,0.0,0.28152492668621704,0.0,0.31481481481481477,0.4355240467522513,0.5520082389289392,0.3063590648273604,0.13043478260869565,0.22900763358778625,0.8936170212765959,0.9967724040546674,0.1859823399558499
0.008743183648218926,0.0,0.28152492668621704,0.0,0.31481481481481477,0.46541483042728504,0.811534500514933,0.2844710782129509,0.13043478260869565,0.22900763358778625,0.8936170212765959,0.9744061727772455,0.35706401766004414
